Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Hitachi,42999,1.5,5,3.9,"2,691",279,Split,Yes,No,Copper,897,37,R32,52,No,1 Year Warranty on Complete Product and 10 Years on Compressor
Carrier,40999,1.5,5,4.3,"9,189","1,128",Split,Yes,Yes,Copper,1500,38,R32,Not Available,No,"1 Year Warranty on Product, 2 Years on PCB and 10 Years on Compressor from Carrier"
Samsung,30490,1,3,4.3,200,12,Split,No,No,Copper,920,42,R32,Not Available,No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
Lloyd,39499,1.5,5,4,508,71,Split,Yes,No,Copper,864,35,R32,52,Yes,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Lg,33990,1,3,4,"1,144",119,Split,Yes,Yes,Copper,680,21,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Daikin,30499,1.5,3,4.2,216,29,Window,No,No,Copper,1265,50,Not Available,Not Available,No,1 Year on Product and 4 Years on Compressor
Whirlpool,32999,1,5,4,"2,918",336,Split,Yes,Yes,Copper,560,45,R32,Not Available,No,Not Available
Lg,46490,1.5,5,4.2,60,4,Split,Yes,Yes,Copper,818,31,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Samsung,36680,1.5,4,3.3,3,0,Split,Yes,No,Copper,1490,45,R32,Not Available,No,1 Year Warranty on Product and 10 Years on Compressor
Lloyd,29499,1,3,4.1,351,42,Split,No,No,Copper,735,40,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Lloyd,34999,1.2,5,4.1,275,37,Split,Yes,No,Copper,690,32,R32,52,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Whirlpool,36990,1.5,5,4,"2,918",336,Split,Yes,Yes,Copper,770,45,R32,Not Available,No,"1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor"
Voltas,48990,1,3,4.6,11,3,Split,Yes,No,Copper,1155,46,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
